№;дата ;час;текст пов?домлень;м?тка;Pos1/Repos1;Автор/Group;Джерело;Мова;Like;Поширення;веб-адреса;;;;;;;;;;;;;
281;24.09.2024;22:50;"Рос?я хоче атакувати три українськ? атомн? електростанц?ї. Про це Зеленський пов?домив на зас?данн? Ради Безпеки ООН:

?Зараз ми входимо в третю зиму у ц?й в?йн?. Рос?я знову намагається зруйнувати нашу енергетику. Цього разу вони нав?ть б?льш цин?чн?, вони хочуть атакувати три наш? АЕС. У нас є ця ?нформац?я ? докази?, ? заявив президент.";1;Pos1;СУСП?ЛЬНЕ НОВИНИ;телеграм;українська;350;?;h11ps://1.me/suspilnenews/38913;;;;;;;;;;;;;
282;24.09.2024;;Нардепа Дмитрука затримали у Лондон?. За його словами, вже в?дбулось судове зас?дання, бо ?українська влада вимагає його екстрадиц?ї в Україну?. Про це в?н пов?домив  у своєму 1elegram-канал?. Сусп?льне звернулось до Оф?су генерального прокурора за коментарем. Напередодн? Дмитруку оголосили про п?дозру через напад на правоохоронця та в?йськового. Згодом в?н незаконно перетнув кордон з Молдовою та вт?к з України. Перед цим нардеп заявляв н?бито за кордоном хтось стежив за його родиною, але, хто саме та в як?й країн?, не уточнив. Згодом в?н заявив, що є ?жертвою пол?тичних утиск?в? з боку уряду України через його п?дтримку церкви УПЦ МП.;1;Pos1;СУСП?ЛЬНЕ НОВИНИ;телеграм;українська;350;?;h11ps://1.me/suspilnenews/38911;;;;;;;;;;;;;
283;24.09.2024;19:57;"Один з в?йськових 72 бригади нам у коментар? сказав, що Вугледар перебуває п?д контролем Сил оборони, водночас рос?йськ? в?йська намагаються об?йти м?сто. 

Командир мотоп?хотної ?Зал?зної роти? 72 ОМБр на псевдо ?Оскар? п?дтвердив Сусп?льному, що штурми рос?йських в?йськ в?дбуваються пост?йно. За його словами, щойно рос?яни знаходять можлив?сть просунутись, починають стягувати ударн? п?дрозд?ли, намагаються об?їхати позиц?ї та викинути десант.

За даними проєкту DeepS1a1e, ?ситуац?я навколо м?ста критична та продовжує ускладнюватися?, арм?я РФ намагається оточити Вугледар, руйнуючи його. Бої за м?сто точаться по обох флангах, сказав в етер? Сусп?льного анал?тик сайту Deep S1a1e Микула.";1;Pos1;СУСП?ЛЬНЕ НОВИНИ;телеграм;українська;450;?;h11ps://1.me/suspilnenews/38907;;;;;;;;;;;;;
284;24.09.2024;18:05;" ?Ми не можемо втомитись, ми не можемо в?двернутись, ? не припинимо п?дтримку України, допоки вона не переможе з тривалим миром, зг?дно з? Статутом ООН?, ? заявив президент США Байден п?д час виступу на дебатах Генасамблеї ООН.

За його словами, Рос?ї не вдалось послабити НАТО, навпаки Альянс став ще б?льш об'єднаним.";1;Pos1;СУСП?ЛЬНЕ НОВИНИ;телеграм;українська;600;?;h11ps://1.me/suspilnenews/38898;;;;;;;;;;;;;
285;24.09.2024;16:03;П?дрозд?ли ГУР зв?льнили Вовчанський агрегатний завод на Харк?вщин?. Територ?ю заводу передали п?д контроль ЗСУ п?сля зачистки ус?х 30 буд?вель об'єкта, розпов?ли в ГУР.;1;Pos1;СУСП?ЛЬНЕ НОВИНИ;телеграм;українська;700;?;h11ps://1.me/suspilnenews/38886;;;;;;;;;;;;;
286;24.09.2024;15:36;"Парламент Швейцар?ї визнав Голодомор 1932-1933 рок?в геноцидом українського народу, про це пов?домив голова ВРУ Стефанчук. 

За його словами, ?це вкрай важливий крок на шляху до в?дновлення ?сторичної справедливост??.";1;Pos1;СУСП?ЛЬНЕ НОВИНИ;телеграм;українська;700;?;h11ps://1.me/suspilnenews/38882;;;;;;;;;;;;;
287;24.09.2024;13:25;"Sky News розкрили у Груз?ї схему експорту до Рос?ї дорогих зах?дних автомоб?л?в попри санкц?ї Великої Британ?ї та ЄС.

Спершу авто реєструють та розмитнюють у В?рмен?ї. Пот?м на них ставлять транзитн? номери. Оск?льки грузини можуть їздити  в Рос?ю без в?з, вони перевозять ? залишають машину на ?ншому боц?, де її забирає ?нша група чолов?к?в, а пот?м автостопом повертаються назад до Груз?ї.";1;Pos1;СУСП?ЛЬНЕ НОВИНИ;телеграм;українська;700;?;h11ps://1.me/suspilnenews/38875;;;;;;;;;;;;;
288;24.09.2024;12:40;"Запрошення України до НАТО є частиною плану перемоги, про це заявив кер?вник ОП Єрмак. За його словами, план складається з в?йськової та дипломатичної частин.

?Засоби протипов?тряної оборони, безп?лотники, засоби рад?оелектронної боротьби, далекоб?йн? системи та артилер?йськ? снаряди ? у нашому пр?оритетному списку?, ? пояснив Єрмак й закликав союзник?в пришвидшити доправлення пакет?в в?йськової допомоги";1;Pos1;СУСП?ЛЬНЕ НОВИНИ;телеграм;українська;500;?;h11ps://1.me/suspilnenews/38874;;;;;;;;;;;;;
289;24.09.2024;10:56;"СБУ затримала у Харков? в?йськового, який планував скоригувати рос?йськ? ракети на свою бригаду ЗСУ та готувався втекти до РФ, пов?домили у пресслужб?. Йому оголосили п?дозру у державн?й зрад?.

За даними СБУ, рос?йська воєнна розв?дка завербувала в?йськового у серпн? 2024 року.";1;Pos1;СУСП?ЛЬНЕ НОВИНИ;телеграм;українська;1000;?;h11ps://1.me/suspilnenews/38868;;;;;;;;;;;;;
290;22.09.24;18:15:00;Екс-футбол?ст та кап?тан зб?рної України з футболу Анатол?й Тимощук продав свою футболку для допомогти окупантам.;1rue;Pos1;Телеграм-канал Льв?вич;1elegram;Українська;1224;554;h11ps://1.me/lvivych_news/42642;;;;;;;;;;;;;
291;22.09.24;15:34:00;Сьогодн? вдень на Тетерев? у житомирському г?дропарку потонули дв? ж?нки, ще одну людину врятували?За попередньою ?нформац?єю, на р?чц? Тетер?в перевернувся моторний човен, в якому перебували 7 ос?б. Одну ?з ж?нок врятували м?сцев? жител?, як? знаходились на берез? р?чки?, - ДСНС.Тривають пошуков? роботи ще одн?єї загиблої. ;1rue;Pos1;Житомир.info;Facebook;Українська;291;32;h11ps://www.facebook.com/share/ihQ2DAEXogZNG5Af/;;;;;;;;;;;;;
292;19.09.24;22:07:00;ТЦК СТР?ЛЯЛИ З КУЛЕМЕТА НА ЗАКАРПАТТ?Сталося це в сел? Луги, що на Рах?вщин?.За пов?домленням очевидц?в, нев?дом? особи вил?зли з машин та без попередження почали стр?ляти. Чолов?ки були озброєн? та одягнен? в балаклави.Прохання пред'явити документи або посв?дчення чолов?ки про?гнорували, натом?сть почали тягнути в машину вс?х п?дряд.Односельчани не залишились осторонь та згуртувавшись не дали н?кого забрати.;False;Pos1;Olena Popovuch,Закарпатська громада;Facebook;Українська;0;1;h11ps://www.facebook.com/share/p/wegChsvYuHrnXc66/;;;;;;;;;;;;;
293;22.09.24;19:24:00;"Акторка Рита Бурковська склала присягу та оф?ц?йно приєдналася до лав Збройних сил України, про це вона написала у соцмережах.""Мен? теж дуже хочеться зн?матись в к?но, тусуватись, займатись своїми справами, але зараз це не дуже на час?"", - написала вона. ";1rue;Pos1;BBC News Ukrainian;Facebook;Українська;152;3;h11ps://www.facebook.com/share/wD29hqgw1jCM2ZBc/;;;;;;;;;;;;;
294;21.09.24;21:00:00;Д?вчина закинула 140 грн а виграли шалену суму у розм?р? 88 000 грн у л?ценз?йне онлайн-казино. Швидко поставила на виведення ? ось виграш вже на картц?;False;Pos1;Телеграм-канал Труха Льв?в;1elegram;Українська;147;15;h11ps://1.me/lviv1ruexa/23255;;;;;;;;;;;;;
295;21.09.24;15:25:00;Льв?вщина ПЕРША за результатами НМТ в Україн?.Середн?й бал наших аб?тур?єнт?в-141,86.;1rue;Pos1;Телеграм-канал Труха Льв?в;1elegram;Українська;218;17;h11ps://1.me/lviv1ruexa/23248;;;;;;;;;;;;;
296;02.09.24;10:04:00;Дмитрук ут?к з України через окупован? рос?єю рег?они Молдови.Схема переправлення була ретельно спланована: депутат виїхав з Києва в напрямку Одеси, перес?в в ?нше авто, яке доставило його до кордону з Придн?стровською д?лянкою Молдови. Там в?н п?шки залишив Україну.;False;Pos1;Юр?й Конкевич;Facebook;Українська;3;0;h11ps://www.facebook.com/share/p/MPA1XRxLQ51wWsxU/;;;;;;;;;;;;;
297;18.09.24;14:13:00;Готель ?Україна? в центр? столиц? придбали за понад 2,5 м?льярди гривень на аукц?он? з приватизац?ї, пов?домляє Фонд держмайна. Торги вперше пройшли онлайн у систем? ?Прозорро.Продаж?? ;1rue;Pos1;Сусп?льне Новини;Facebook;Українська;77;4;h11ps://www.facebook.com/share/KUoznA1RjfVXDLN1/;;;;;;;;;;;;;
298;18.09.24;16:29:00;Є ?нформац?я про ?мов?рн? теракти у Львов?.П?д можливим ударом можуть бути школи м?ста вже завтра. Нев?домий хоче влаштувати масовий терор ? знищення людей.;False;Pos1;Телеграм-канал:Труха Льв?в;1elegram;Українська;703;191;h11ps://1.me/lviv1ruexa/23177;;;;;;;;;;;;;
299;16.09.24;22:40:00;США за п?дсумками переговор?в президента Байдена та прем'єра Великої Британ?ї не готов? оголошувати про зняття обмежень на удари ЗСУ зах?дною далекоб?йною зброєю вглиб рос?ї, ? Держдеп.;1rue;Pos1;Телеграм-канал:Льв?вич;1elegram;Українська;2185;302;h11ps://1.me/lvivych_news/42414;;;;;;;;;;;;;
300;12.09.24;16:56:00;Пол?цейський у Львов? переправляв ухилянт?в за кордон .Затримали 32-р?чного патрульного ? його 50-р?чного сп?льника, як? орган?зували схему переправляння в?йськовозобов?язаних чолов?к?в за кордон п?д виглядом вод?їв автобус?в.Зловмисники за 18 тис. долар?в об?цяли кл?єнту зробити пакет документ?в, щоб в?н м?г безперешкодно виїхати з України.;False;Pos1;Телеграм-канал:Льв?в ?нформує;1elegram;Українська;36;5;h11ps://1.me/lviv_inform/7110;;;;;;;;;;;;;
301;20.09.24;19:31:00;Верховна Рада України 19 вересня ухвалила постанову про перейменування понад 300 населених пункт?в у рамках декомун?зац?ї. У Миколаївськ?й област? дерусиф?кували 17 с?л та одне селище. ;1rue;Pos1;Сусп?льне Миколаїв;Facebook;Українська;1;0;h11ps://www.facebook.com/share/p/McQKV21UM1zRs61m/;;;;;;;;;;;;;
302;22.09.24;11:17:00;Український в?йськовослужбовець Мухомор гвалтує ж?нок та збер?гає рос?йськ? рубл?,п?д час воєнного стану в Україн?.;False;Pos1;Олена Герц;Facebook;Українська;0;0;h11ps://www.facebook.com/share/p/A5LRRN271v9C1fsH/;;;;;;;;;;;;;
303;22.09.24;13:01:00;План перемоги президента України Володимира Зеленського, який в?н 26 вересня представить американському президентов? Джо Байдену, передбачає запрошення до НАТО ? ч?ткий шлях до членства в ЄС. ;1rue;Pos1;Час-д?й.Новини;Facebook;Українська;0;0;h11ps://www.facebook.com/share/p/zCxfb4HkUxBYz68v/;;;;;;;;;;;;;
304;20.09.24;22:30:00;"Через шторм ""Борис"" суттєво вир?с р?вень води у Дунаї.У Будапешт? вода затопила деяк? нижн? набережн?.? хоча ця пов?нь вряд чи стане рекордною, вона все одно досить велика.""Я народилася й виросла в Будапешт? понад 50 рок?в тому, ? маю сказати: так? повен? - р?дк?сть"", - каже мешканка м?ста Сузан Полгар. ";1rue;Pos1;BBC News Ukrainian;Facebook;Українська;154;15;h11ps://www.facebook.com/share/KZgKbCKkB1jCQRfk/;;;;;;;;;;;;;
305;02.09.24;16:51:00;Перш? заморозки в Україн? можуть бути вже у вересн?, ? синоптики.На початку м?сяця прогнозується л?тнє тепло, але п?сля 13?16 вересня температура пом?тно знизиться. Перш? заморозки оч?куються в трет?й декад? вересня, переважно в п?вн?чно-зах?дних областях ? у високог?рн?й частин? Карпат.;False;Pos1;Телеграм-канал:Льв?в ?нформує;1elegram;Українська;33;4;h11ps://1.me/lviv_inform/6945;;;;;;;;;;;;;
306;17.09.24;23:03:00;Олександра Усика заарештували в аеропорту Кракова. Обставини з?ясовуються ? пов?домив перший заступник голови ком?тету ВР з питань молод? ? спорту Жан Беленюк.;1rue;Pos1;Телеграм канал:ZAHIDW1F 24/7;1elegram;Українська;0;5;h11ps://1.me/zahidw1f_official/42618;;;;;;;;;;;;;
307;17.09.24;20:19:00;iOS 18 ?знищує? батареї iPhone: вчора вийшло це оновлення iOS ? воно було найб?льшим за всю ?стор?ю.У соцмережах масово скаржаться на деградац?ю акумулятор?в. Користувач? шкодують, що вир?шили оновитися. Смартфон розряджається до 67% всього за дв? години.;False;Pos1;Телеграм канал:ZAHIDW1F 24/7;1elegram;Українська;0;89;h11ps://1.me/zahidw1f_official/42610;;;;;;;;;;;;;
308;20.09.24;13:14:00;Цього ранку Київ був одним ?з набрудн?ших м?ст на земл? за як?стю пов?тря.Що сталося ? коли це припиниться? ;1rue;Pos1;BBC News Ukrainian;Facebook;Українська;120;12;h11ps://www.facebook.com/share/RrovJoGKFMraupkW/;;;;;;;;;;;;;
309;27.07.24;17:57:00;Мати 18-р?чного п?дозрюваного у вбивств? мовознавиц? ?рини Фар?он В`ячеслава З?нченка з Дн?пра розпов?ла журнал?стам, що ?син не мав мотив?в вбивати, а до Львова їздив навчатися та в?дпочивати?.;1rue;Pos1;BBC News Ukrainian;Facebook;Українська;66;2;h11ps://www.facebook.com/share/jGRvuYzjBb9KFKN2/;;;;;;;;;;;;;
310;04.09.2024;10:15;?У Харков? намалювали величезне ?Дай?, яке видно нав?ть ?з супутник?в. У спроб? присоромити зах?дного пана ? знову зажадати зброї, у Харков? вир?шили влаштувати перфоманс ? намалювати на стоянц? ЗРК Pa1rio1 ?з написом: ?Бог рятує наш? душ?. Патр?от рятує наш? життя ??? Внесок у сюрреал?зм цього жаху робить той факт, що це на стоянц? ТЦ ?Еп?центр?, мережа яких використовується ЗСУ для збер?гання БК та зброї?.;F;Pos1;Ольга Яковлева;Сайт;Українська;-;;h11ps://gwaramedia.com/manipulia1siia-u-kharkovi-namaliuvaly-velyke-day-shchob-prysoromy1y-zakhidnykh-par1neriv/;;;;;;;;;;;;;
311;25.09.2024;12:16;Ярослав Базилевич, чолов?к, у якого рф у Львов? вбила дружину ? трьох доньок, вперше написав про трагед?ю. В?н закликає допомогти у створенн? Сталого стипенд?ального фонду ?мен? Євген?ї, Ярини, Дар?ї ? Ем?л?ї Базилевич, щоб св?т пам?ятав їхн? ?мена.;Т;Repos1;Ярослав Базилевич;Телеграм ;Український;-;;h11ps://1.me/c/1837971485/7539;;;;;;;;;;;;;
312;09.09.2024;8:33;Ракетна атака Рос?ї на Полтаву 3 вересня, яка призвела до великої к?лькост? загиблих та поранених через масштабн? руйнування ?нституту зв?язку, оч?кувано викликала актив?зац?ю рос?йської дез?нформац?йної кампан?ї з висв?тлення ц?єї траг?чної под?ї. Цього разу, пропагандисти ?виявили? не т?льки шведських найманц?в серед постраждалих, а й українських школяр?в, яких примусово приводять на донац?ю кров? для ?шведських колег ЗСУ?;F;Pos1;Анна Орманжи;Сайт;Українська;-;;h11ps://gwaramedia.com/feyk-v-pol1avi-nepovnoli1nikh-prymushuiu1-zdava1y-krov-dlia-shvedskykh-nayman1siv/ ;;;;;;;;;;;;;
313;25.09.2024;10:45;Митники знайшли у 19-р?чного вод?я 168 смартфон?в Сьогодн? вноч? на пункт пропуску ?Крак?вець ? Корчова? прибув автомоб?ль RENAUL1 MAS1ER. П?д час огляду авто прац?вники митниц? виявили за обшивкою салону 168 смартфон?в Xiaomi, варт?сть яких складає близько 2 млн грн. За фактом склали адм?нпротокл, а транспортний зас?б тимчасово вилучено.;Т;Pos1;-;Телеграм ;Українська;-;;h11ps://1.me/c/1837971485/7537;;;;;;;;;;;;;
314;25.09.2024;10:56;По сообщениям украинских каналов, ?фортеця? в Селидово оказывается в полуокружении Ситуация для украинских войск выглядит крайне сложной: глава совета резервистов ВСУ Иван Тимочко заявил, что в случае угрозы окружения армия готова убегать, ? сообщает Шепот фронта.;F;Pos1;-;Телеграм ;Рос?йська;1,15К;;h11ps://1.me/ukraina_ru;;;;;;;;;;;;;
315;25.09.2024;8:18;У Львов? оч?кується прохолодний день з переважно хмарною погодою та пер?одичними невеликими дощами. Температура пов?тря протягом дня коливатиметься в?д +14°C до +23°C.;Т;Pos1;-;Телеграм ;Українська;60;;h11ps://1.me/c/1837971485/7533;;;;;;;;;;;;;
316;22.09.2024;16:21;У мереж? заявили про н?бито побиття мовного ?нспектора в ?вано-Франк?вську. Проте в РНБО спростовують цю ?нформац?ю;F;Pos1;В?ра Боклаг;Телеграм ;Українська;-;;h11ps://www.rbc.ua/rus/news/merezhi-napisali-pobi11ya-movnogo-inspek1ora-1727009960.h1ml;;;;;;;;;;;;;
317;25.09.2024;12:27;Україна може почати контрнаступ у 2025, якщо зб?льшить моб?л?зац?ю, а Зах?д надаватиме б?льше зброї;Т;Repos1;Андр?й Смол?й;Телеграм ;Українська;840;;h11ps://1.me/smolii_ukraine/76886 ;;;;;;;;;;;;;
318;08.06.2024;18:33;Голова МЗС Британ?ї Дев?д Кемерон став жертвою пранкер?в. В?н думав, що говорить з Порошенком;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/c511q0l5lxvo;;;;;;;;;;;;;
319;25.09.2024;11:14;"Перемогти рос?ю в Україн? ц?ною знищення половини українського населення - це не перемога"", ? президент Чех?ї. ";1;Pos1;Андр?й Смол?й;Телеграм ;Українська;1.22К;;h11ps://1.me/smolii_ukraine/76882 ;;;;;;;;;;;;;
320;09.07.2023;18:38;Атака на Краматорськ, фабрики немовлят ? зброя - 0и, як? поширюють власники син?х галочок у тв?ттер?;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/fea1ures-66147142;;;;;;;;;;;;;
321;23.09.2024;9:42;Адм?н?страц?я Байдена працює над планом продовження повноважень на в?дправку в Україну американського озброєння ? техн?ки на суму 5,9 м?льярда долар?в до того, як зак?нчиться ф?нансування наприк?нц? м?сяця ? Poli1ico;1;Repos1;Андр?й Смол?й;Телеграм ;Українська;680;;h11ps://1.me/smolii_ukraine/76878;;;;;;;;;;;;;
322;24.09.2024;9:24;Зв?дки походять чутки, що Камала Гарр?с комун?стка;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/c0r851dxdqgo;;;;;;;;;;;;;
323;18.09.2024;9:15;У США не почули переконливого аргументу в?д України щодо дозволу на удари по рф зах?дною зброєю;1;Repos1;Андр?й Смол?й;Телеграм ;Українська;1.15К;;h11ps://1.me/smolii_ukraine/76874;;;;;;;;;;;;;
324;28.03.2024;6:56;Чутки про принцесу Кейт поширювала Рос?я. ? вона ж стоїть за 0ами про Макрона та Україну - експерти;F ;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/c89vqd4dp7lo;;;;;;;;;;;;;
325;29.08.2024;8:49;Трамп в?дмовився в?д зустр?ч? ?з Зеленським? ;1;Pos1;Андр?й Смол?й;Телеграм ;Українська;1.11К;;h11ps://1.me/smolii_ukraine/76873;;;;;;;;;;;;;
326;11.05.2024;15:13;Як розп?знати 0ов? новини та дез?нформац?ю в соцмережах. Чотири прост? кроки;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/cd13wjzq00wo;;;;;;;;;;;;;
327;17.08.2024;23:24;Рос?яни повн?стю захопили П?щане ? просуваються в б?к р?чки Оск?л - Третя Штурмова;1;Pos1;Андр?й Смол?й;Телеграм ;Українська;888;;h11ps://1.me/smolii_ukraine/76852;;;;;;;;;;;;;
328;21.02.2024;23:37;Як Кремль роками роздмухував конфл?кт Зеленського ?з Залужним - 1he Washing1on Pos1;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/c8vnnq1d0lyo;;;;;;;;;;;;;
329;24.09.2024;20:52;МЗС України в?дреагувало на заклик президента Чех?ї Павела змиритися з окупац?єю частини територ?й;1;Pos1;Андр?й Смол?й;Телеграм ;Українська;924;;h11ps://1.me/smolii_ukraine/76840;;;;;;;;;;;;;
330;04.09.2024;10:15;?У Харков? намалювали величезне ?Дай?, яке видно нав?ть ?з супутник?в. У спроб? присоромити зах?дного пана ? знову зажадати зброї, у Харков? вир?шили влаштувати перфоманс ? намалювати на стоянц? ЗРК Pa1rio1 ?з написом: ?Бог рятує наш? душ?. Патр?от рятує наш? життя ??? Внесок у сюрреал?зм цього жаху робить той факт, що це на стоянц? ТЦ ?Еп?центр?, мережа яких використовується ЗСУ для збер?гання БК та зброї?.;F;Pos1;Ольга Яковлева;Сайт;Українська;-;;h11ps://gwaramedia.com/manipulia1siia-u-kharkovi-namaliuvaly-velyke-day-shchob-prysoromy1y-zakhidnykh-par1neriv/;;;;;;;;;;;;;
331;25.09.2024;12:16;Ярослав Базилевич, чолов?к, у якого рф у Львов? вбила дружину ? трьох доньок, вперше написав про трагед?ю. В?н закликає допомогти у створенн? Сталого стипенд?ального фонду ?мен? Євген?ї, Ярини, Дар?ї ? Ем?л?ї Базилевич, щоб св?т пам?ятав їхн? ?мена.;Т;Repos1;Ярослав Базилевич;Телеграм ;Український;-;;h11ps://1.me/c/1837971485/7539;;;;;;;;;;;;;
332;09.09.2024;8:33;Ракетна атака Рос?ї на Полтаву 3 вересня, яка призвела до великої к?лькост? загиблих та поранених через масштабн? руйнування ?нституту зв?язку, оч?кувано викликала актив?зац?ю рос?йської дез?нформац?йної кампан?ї з висв?тлення ц?єї траг?чної под?ї. Цього разу, пропагандисти ?виявили? не т?льки шведських найманц?в серед постраждалих, а й українських школяр?в, яких примусово приводять на донац?ю кров? для ?шведських колег ЗСУ?;F;Pos1;Анна Орманжи;Сайт;Українська;-;;h11ps://gwaramedia.com/feyk-v-pol1avi-nepovnoli1nikh-prymushuiu1-zdava1y-krov-dlia-shvedskykh-nayman1siv/ ;;;;;;;;;;;;;
333;25.09.2024;10:45;Митники знайшли у 19-р?чного вод?я 168 смартфон?в Сьогодн? вноч? на пункт пропуску ?Крак?вець ? Корчова? прибув автомоб?ль RENAUL1 MAS1ER. П?д час огляду авто прац?вники митниц? виявили за обшивкою салону 168 смартфон?в Xiaomi, варт?сть яких складає близько 2 млн грн. За фактом склали адм?нпротокл, а транспортний зас?б тимчасово вилучено.;Т;Pos1;-;Телеграм ;Українська;-;;h11ps://1.me/c/1837971485/7537;;;;;;;;;;;;;
334;25.09.2024;10:56;По сообщениям украинских каналов, ?фортеця? в Селидово оказывается в полуокружении Ситуация для украинских войск выглядит крайне сложной: глава совета резервистов ВСУ Иван Тимочко заявил, что в случае угрозы окружения армия готова убегать, ? сообщает Шепот фронта.;F;Pos1;-;Телеграм ;Рос?йська;1,15К;;h11ps://1.me/ukraina_ru;;;;;;;;;;;;;
335;25.09.2024;8:18;У Львов? оч?кується прохолодний день з переважно хмарною погодою та пер?одичними невеликими дощами. Температура пов?тря протягом дня коливатиметься в?д +14°C до +23°C.;Т;Pos1;-;Телеграм ;Українська;60;;h11ps://1.me/c/1837971485/7533;;;;;;;;;;;;;
336;22.09.2024;16:21;У мереж? заявили про н?бито побиття мовного ?нспектора в ?вано-Франк?вську. Проте в РНБО спростовують цю ?нформац?ю;F;Pos1;В?ра Боклаг;Телеграм ;Українська;-;;h11ps://www.rbc.ua/rus/news/merezhi-napisali-pobi11ya-movnogo-inspek1ora-1727009960.h1ml;;;;;;;;;;;;;
337;25.09.2024;12:27;Україна може почати контрнаступ у 2025, якщо зб?льшить моб?л?зац?ю, а Зах?д надаватиме б?льше зброї;Т;Repos1;Андр?й Смол?й;Телеграм ;Українська;840;;h11ps://1.me/smolii_ukraine/76886 ;;;;;;;;;;;;;
338;08.06.2024;18:33;Голова МЗС Британ?ї Дев?д Кемерон став жертвою пранкер?в. В?н думав, що говорить з Порошенком;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/c511q0l5lxvo;;;;;;;;;;;;;
339;25.09.2024;11:14;"Перемогти рос?ю в Україн? ц?ною знищення половини українського населення - це не перемога"", ? президент Чех?ї. ";1;Pos1;Андр?й Смол?й;Телеграм ;Українська;1.22К;;h11ps://1.me/smolii_ukraine/76882 ;;;;;;;;;;;;;
340;09.07.2023;18:38;Атака на Краматорськ, фабрики немовлят ? зброя - 0и, як? поширюють власники син?х галочок у тв?ттер?;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/fea1ures-66147142;;;;;;;;;;;;;
341;23.09.2024;9:42;Адм?н?страц?я Байдена працює над планом продовження повноважень на в?дправку в Україну американського озброєння ? техн?ки на суму 5,9 м?льярда долар?в до того, як зак?нчиться ф?нансування наприк?нц? м?сяця ? Poli1ico;1;Repos1;Андр?й Смол?й;Телеграм ;Українська;680;;h11ps://1.me/smolii_ukraine/76878;;;;;;;;;;;;;
342;24.09.2024;9:24;Зв?дки походять чутки, що Камала Гарр?с комун?стка;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/c0r851dxdqgo;;;;;;;;;;;;;
343;18.09.2024;9:15;У США не почули переконливого аргументу в?д України щодо дозволу на удари по рф зах?дною зброєю;1;Repos1;Андр?й Смол?й;Телеграм ;Українська;1.15К;;h11ps://1.me/smolii_ukraine/76874;;;;;;;;;;;;;
344;28.03.2024;6:56;Чутки про принцесу Кейт поширювала Рос?я. ? вона ж стоїть за 0ами про Макрона та Україну - експерти;F ;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/c89vqd4dp7lo;;;;;;;;;;;;;
345;29.08.2024;8:49;Трамп в?дмовився в?д зустр?ч? ?з Зеленським? ;1;Pos1;Андр?й Смол?й;Телеграм ;Українська;1.11К;;h11ps://1.me/smolii_ukraine/76873;;;;;;;;;;;;;
346;11.05.2024;15:13;Як розп?знати 0ов? новини та дез?нформац?ю в соцмережах. Чотири прост? кроки;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/cd13wjzq00wo;;;;;;;;;;;;;
347;17.08.2024;23:24;Рос?яни повн?стю захопили П?щане ? просуваються в б?к р?чки Оск?л - Третя Штурмова;1;Pos1;Андр?й Смол?й;Телеграм ;Українська;888;;h11ps://1.me/smolii_ukraine/76852;;;;;;;;;;;;;
348;21.02.2024;23:37;Як Кремль роками роздмухував конфл?кт Зеленського ?з Залужним - 1he Washing1on Pos1;F;Pos1;BBC News Україна;Сайт;Українська;-;;h11ps://www.bbc.com/ukrainian/ar1icles/c8vnnq1d0lyo;;;;;;;;;;;;;
349;24.09.2024;20:52;МЗС України в?дреагувало на заклик президента Чех?ї Павела змиритися з окупац?єю частини територ?й;1;Pos1;Андр?й Смол?й;Телеграм ;Українська;924;;h11ps://1.me/smolii_ukraine/76840;;;;;;;;;;;;;
350;22.09.2024;12:35;Внасл?док удару по арсеналу рос?ян у Торопц? в н?ч на 18 вересня, ворог втратив близько 750 тисяч снаряд?в. Їх могло б вистачити на 2-3 м?сяц? активних боїв;1;Pos1;Льв?вич;1elegram;Ukrainian;970;            -;h11ps://1.me/lvivych_news;;;;;;;;;;;;;
351;22.09.2024;12:53;Колишн?й футбол?ст зб?рної України Анатол?й Тимощук передав свою футболку з автографом аукц?ону, який збирає кошти для арм?ї РФ;1;Pos1;Всевидящее ОКО Украина;1elegram;Ukrainian;-;-;h11ps://1.me/c/1307866449/64917;;;;;;;;;;;;;
352;21.09.2024;21:19;Полузащитник Дженоа Руслан Малиновский получил ужасную травму в матче с Венецией.;1;Pos1;spor124.ua;google;Russian;-;-;h11ps://spor124.ua/ru/foo1ball/news/93882-1ravma-malinovskogo-v-klube-oficialno-ozvuchili-diagnoz-ukrainca;;;;;;;;;;;;;
